Date,GOLD,GDPC1,CPALTT01USM657N,WM2NS,UNRATE,SP500,NASDAQ,VIX,OIL,DXY,1YBOND_US,5YBOND_US,10YBOND_US,30YBOND_US,FEDFUNDS,INDPRO,A032RC1A027NBEA,XTIMVA01USQ188S,CHNXTEXVA01STSAQ,GFDEBTN,TRESEGUSM052N,PPIACO,XTNTVA01USM664S
2000-08-31,278.29998779296875,14145.312,0.0,4794.7,4.1,1517.6800537109375,4206.35009765625,16.84000015258789,33.099998474121094,112.5999984741211,6.110000133514404,5.974999904632568,5.729000091552734,5.673999786376953,6.5,92.591,8873.97,12.149834781669,20.703733812226,5674179.0,54286.7134670839,132.9,-35902000000.0
2000-09-30,273.6000061035156,14145.312,0.5208333333333119,4804.5,3.9,1436.510009765625,3672.820068359375,20.56999969482422,30.86000061035156,113.25,6.03000020980835,5.833000183105469,5.777999877929688,5.86899995803833,6.52,92.9827,8873.97,12.149834781669,20.703733812226,5674179.0,55210.2575200845,134.7,-38834000000.0
2000-10-31,264.8999938964844,14229.765,0.1727115716753109,4831.0,3.9,1429.4000244140625,3369.6298828125,23.6299991607666,32.689998626708984,116.6500015258789,6.150000095367432,5.813000202178955,5.756999969482422,5.783999919891357,6.51,92.64,8873.97,12.024902105686,17.9327025982137,5662216.0,54211.5050254097,135.4,-39211000000.0
2000-11-30,270.1000061035156,14229.765,0.0574712643678088,4886.4,3.9,1314.949951171875,2597.929931640625,29.649999618530277,33.79999923706055,115.23999786376952,6.010000228881836,5.39300012588501,5.439000129699707,5.585999965667725,6.51,92.6604,8873.97,12.024902105686,17.9327025982137,5662216.0,54476.4334592059,135.0,-37302000000.0
2000-12-31,272.0,14229.765,-0.0574382538770748,4958.7,3.9,1320.280029296875,2470.52001953125,26.850000381469727,26.799999237060547,109.55999755859376,5.730000019073486,4.980999946594238,5.110000133514404,5.459000110626221,6.4,92.3457,8873.97,12.024902105686,17.9327025982137,5662216.0,56600.3776527229,136.2,-37857000000.0
2001-01-31,265.6000061035156,14183.12,0.632183908045972,4933.1,4.2,1366.010009765625,2772.72998046875,22.020000457763672,28.700000762939453,110.5199966430664,4.840000152587891,4.8379998207092285,5.178999900817871,5.535999774932861,5.98,91.8908,9149.514,11.7542010295666,23.2236091199529,5773740.0,56496.0226632976,140.0,-39601000000.0
2001-02-28,266.79998779296875,14183.12,0.39977155910909,5014.2,4.2,1239.93994140625,2151.830078125,28.350000381469727,27.420000076293945,112.01000213623048,4.71999979019165,4.650000095367432,4.9079999923706055,5.336999893188477,5.49,91.2851,9149.514,11.7542010295666,23.2236091199529,5773740.0,55439.543271363,137.4,-34236000000.0
2001-03-31,257.8999938964844,14183.12,0.2275312855517489,5090.5,4.3,1160.3299560546875,1840.260009765625,28.63999938964844,26.399999618530277,117.37000274658205,4.179999828338623,4.544000148773193,4.914999961853027,5.453000068664551,5.31,91.0585,9149.514,11.7542010295666,23.2236091199529,5773740.0,53175.3270620153,135.9,-37503000000.0
2001-04-30,264.0,14271.694,0.3972758229285,5105.5,4.4,1249.4599609375,2116.239990234375,25.479999542236328,28.459999084472656,115.8499984741211,3.829999923706055,4.888000011444092,5.3379998207092285,5.771999835968018,4.8,90.7384,9149.514,10.8799698084725,20.3677132295778,5726815.0,53684.8892419042,136.4,-35359000000.0
2001-05-31,265.29998779296875,14271.694,0.4522328999434579,5095.0,4.3,1255.8199462890625,2110.489990234375,22.63999938964844,28.3700008392334,119.06999969482422,3.539999961853028,4.940999984741211,5.413000106811523,5.77899980545044,4.21,90.2607,9149.514,10.8799698084725,20.3677132295778,5726815.0,54209.3800544637,136.8,-31378000000.0
2001-06-30,270.6000061035156,14271.694,0.16882386043895,5130.1,4.5,1224.3800048828125,2160.5400390625,19.059999465942383,26.25,119.43000030517578,3.559999942779541,4.929999828338623,5.389999866485596,5.736000061035156,3.97,89.7811,9149.514,10.8799698084725,20.3677132295778,5726815.0,53803.2947968574,135.5,-33876000000.0
2001-07-31,266.20001220703125,14214.516,-0.2808988764044881,5175.8,4.6,1211.22998046875,2027.1300048828125,21.6200008392334,26.350000381469727,117.18000030517578,3.440000057220459,4.50600004196167,5.037000179290772,5.501999855041504,3.77,89.2352,9149.514,10.4625581004754,19.5194035209706,5807464.0,54692.0589139364,133.4,-34382000000.0
2001-08-31,274.3999938964844,14214.516,0.0,5212.9,4.9,1133.5799560546875,1805.4300537109373,24.920000076293945,27.200000762939453,113.41999816894533,3.2799999713897705,4.355999946594238,4.815999984741211,5.368000030517578,3.65,89.157,9149.514,10.4625581004754,19.5194035209706,5807464.0,56808.392776749,133.4,-32921000000.0
2001-09-30,292.3999938964844,14214.516,0.450704225352114,5325.3,5.0,1040.93994140625,1498.800048828125,31.93000030517578,23.43000030517578,113.4800033569336,2.299999952316284,3.7699999809265137,4.574999809265137,5.414999961853027,3.07,88.6749,9149.514,10.4625581004754,19.5194035209706,5807464.0,59902.163523634,133.3,-34582000000.0
2001-10-31,279.5,14253.574,-0.33651149747618,5303.1,5.3,1059.780029296875,1690.199951171875,33.560001373291016,21.18000030517578,114.86000061035156,2.009999990463257,3.50600004196167,4.263000011444092,4.873000144958496,2.49,88.4051,9149.514,10.0493927797709,17.6358962570337,5943439.0,58661.702745052,130.3,-34335000000.0
2001-11-30,273.8999938964844,14253.574,-0.168823860438935,5390.1,5.5,1139.449951171875,1930.5799560546875,23.84000015258789,19.440000534057617,116.12999725341795,1.7300000190734863,4.054999828338623,4.74399995803833,5.264999866485596,2.09,87.886,9149.514,10.0493927797709,17.6358962570337,5943439.0,58112.2735753146,129.8,-33268000000.0
2001-12-31,278.70001220703125,14253.574,-0.394588500563707,5481.0,5.7,1148.0799560546875,1950.4000244140625,23.799999237060547,19.84000015258789,116.75,1.6699999570846558,4.333000183105469,5.0320000648498535,5.478000164031982,1.82,87.8518,9149.514,10.0493927797709,17.6358962570337,5943439.0,57633.6770279848,128.1,-30458000000.000004
2002-01-31,282.1000061035156,14372.785,0.2263723825693279,5408.1,5.7,1130.199951171875,1934.030029296875,21.09000015258789,19.479999542236328,120.23999786376952,1.7200000286102295,4.36899995803833,5.025000095367432,5.426000118255615,1.73,88.4634,9398.59,10.1054017712246,23.1710422160844,6006032.0,56487.8491153549,128.5,-33504000000.0
2002-02-28,296.70001220703125,14372.785,0.395256916996071,5468.2,5.7,1106.72998046875,1731.489990234375,21.59000015258789,21.850000381469727,119.16000366210938,1.7200000286102295,4.177999973297119,4.859000205993652,5.408999919891357,1.74,88.4578,9398.59,10.1054017712246,23.1710422160844,6006032.0,56313.0135622724,128.4,-35821999999.99999
2002-03-31,302.6000061035156,14372.785,0.562429696287966,5492.9,5.7,1147.3900146484375,1845.3499755859373,17.399999618530273,26.229999542236328,118.62000274658205,1.7400000095367432,4.808000087738037,5.406000137329102,5.815000057220459,1.73,89.1265,9398.59,10.1054017712246,23.1710422160844,6006032.0,56529.3855477872,129.8,-35522000000.0
2002-04-30,308.8999938964844,14460.848,0.559284116331084,5469.5,5.9,1076.9200439453125,1688.22998046875,21.90999984741211,27.290000915527344,115.19000244140624,1.7300000190734863,4.413000106811523,5.091000080108643,5.593999862670898,1.75,89.5507,9398.59,10.6623583462075,21.9814661062587,6126469.0,56800.0116806495,130.8,-38014000000.0
2002-05-31,326.5,14460.848,0.0,5491.3,5.8,1067.1400146484375,1615.72998046875,19.979999542236328,25.350000381469727,111.80999755859376,1.7050000429153442,4.359000205993652,5.043000221252441,5.611999988555908,1.75,89.9348,9398.59,10.6623583462075,21.9814661062587,6126469.0,58534.7188480094,130.8,-38213000000.0
2002-06-30,313.5,14460.848,0.0556173526140231,5515.6,5.8,989.8200073242188,1463.2099609375,25.399999618530277,26.86000061035156,106.11000061035156,1.659000039100647,4.058000087738037,4.823999881744385,5.517000198364258,1.75,90.6736,9398.59,10.6623583462075,21.9814661062587,6126469.0,63652.2545631618,130.9,-39076000000.0
2002-07-31,303.20001220703125,14519.633,0.111172873818774,5572.8,5.8,911.6199951171876,1328.260009765625,32.029998779296875,27.020000457763672,107.41000366210938,1.6649999618530271,3.4579999446868896,4.465000152587891,5.304999828338623,1.73,90.6436,9398.59,10.789545558829,22.6595289249503,6228236.0,63709.2907123293,131.2,-38068000000.00001
2002-08-31,312.3999938964844,14519.633,0.333148250971684,5602.3,5.7,916.0700073242188,1314.8499755859375,32.63999938964844,28.979999542236328,106.9800033569336,1.6449999809265137,3.2079999446868896,4.13700008392334,4.936999797821045,1.74,90.5505,9398.59,10.789545558829,22.6595289249503,6228236.0,64535.6036788054,131.5,-40548000000.0
2002-09-30,323.8999938964844,14519.633,0.16602102933039,5624.7,5.7,815.280029296875,1172.06005859375,39.68999862670898,30.46999931335449,106.87000274658205,1.5269999504089355,2.578000068664551,3.607000112533569,4.662000179290772,1.75,90.6373,9398.59,10.789545558829,22.6595289249503,6228236.0,64818.0494330273,132.3,-40725000000.0
2002-10-31,318.0,14537.58,0.165745856353599,5674.5,5.7,885.760009765625,1329.75,31.13999938964844,27.21999931335449,106.63999938964844,1.4170000553131104,2.743000030517578,3.91100001335144,5.006999969482422,1.75,90.3988,9398.59,10.9367384858725,20.8754750538934,6405707.0,64457.6894741085,133.2,-38794000000.00001
2002-11-30,316.79998779296875,14537.58,0.0,5736.4,5.9,936.3099975585938,1478.780029296875,27.5,26.88999938964844,106.41000366210938,1.2020000219345093,3.260999917984009,4.2129998207092285,5.047999858856201,1.34,90.8947,9398.59,10.9367384858725,20.8754750538934,6405707.0,64629.5174983415,133.1,-43305000000.0
2002-12-31,347.6000061035156,14537.58,-0.220628792057364,5804.0,6.0,879.8200073242188,1335.510009765625,28.6200008392334,31.200000762939453,101.8499984741211,1.1820000410079956,2.7300000190734863,3.818000078201294,4.7829999923706055,1.24,90.3906,9398.59,10.9367384858725,20.8754750538934,6405707.0,67962.4149142412,132.9,-46671000000.00001
2003-01-31,368.2999877929688,14614.141,0.442233278054161,5756.0,5.8,855.7000122070312,1320.9100341796875,31.170000076293945,33.5099983215332,99.91000366210938,1.1480000019073486,2.9570000171661377,3.974999904632568,4.8470001220703125,1.24,91.1369,9820.043,11.0735431817549,27.1563130158399,6460776.0,67391.1483031365,135.3,-44216000000.0
2003-02-28,350.20001220703125,14614.141,0.770500825536602,5807.7,5.9,841.1500244140625,1337.52001953125,29.6299991607666,36.59999847412109,99.70999908447266,1.1749999523162842,2.6659998893737797,3.696000099182129,4.676000118255615,1.26,91.2505,9820.043,11.0735431817549,27.1563130158399,6460776.0,67536.858584579,137.6,-42873000000.00001
2003-03-31,335.8999938964844,14614.141,0.600764609502999,5891.1,5.9,848.1799926757812,1341.1700439453125,29.149999618530277,31.040000915527344,99.05999755859376,1.090000033378601,2.73799991607666,3.822999954223633,4.836999893188477,1.25,91.0006,9820.043,11.0735431817549,27.1563130158399,6460776.0,69006.2667350262,141.2,-46263000000.00001
