DATE,closeIndex,GDP,GNI,unemployment_rate,PPI,CPI,M2,CCI,PMI,ICI,CA,inde_tur_Vol,CHG,indexMarketValue,PEValue,PB,ROE,turnoverRate,upNum,downNum,equalNum,divYield,H_totalTurnoverValue,H_avgPe,H_avgDivYield,HS_marketValue,HS_turnoverVol,HS_turnoverValue
1990-12-31,127.61,,,,,,,,,,,7800.0,1.16,,,,,,,,,,,,,,,
1991-01-31,129.97,,,,,,,,,,,51000.0,-0.47,,,,,,,,,,,,,,,
1991-02-28,133.01,,,,,,,,,,,225800.0,-0.46,,,,,,,,,,,,,,,
1991-03-31,120.19,,282.6958606,,,,,,,,,218500.0,-0.42,,,,,,,,,,,,,,,
1991-04-30,113.94,,,,,,,,,,,485000.0,-0.81,,,,,,,,,,,,,,,
1991-05-31,114.83,,,,,,,,,,,121100.0,1.01,,,,,,,,,,,,,,,
1991-06-30,137.56,,,,,,,,,,,493500.0,1.37,,,,,,,,,,,,,,,
1991-07-31,143.8,,,,,,,,,,,405100.0,1.41,,,,,,,,,,,,,,,
1991-08-31,178.43,,,,,,,,,,,675900.0,1.77,,,,,,,,,,,,,,,
1991-09-30,180.92,,,,,,,,,,,2559400.0,-0.9,,,,,,,,,,,,,,,
1991-10-31,218.6,18357.23,,,,,,,,,,392900.0,2.17,,,,,,,,,,,,,,,
1991-11-30,259.6,,,,,,,,,,,3369500.0,2.25,,,,,,,,,,,,,,,
1991-12-31,292.75,,,,,,,,,,,58400.0,1.04,,,,,,,,,,,,,,,
1992-01-31,313.24,,,,,,,,,,,35400.0,0.51,,,,,,,,,,,,,,,
1992-02-29,364.66,,,,,,,,,,,986200.0,2.21,,,,,,,,,,,,,,,
1992-03-31,381.24,,,,,,,,,,,1739100.0,-0.2,,,,,,,,,,,,,,,
1992-04-30,445.38,,,,,,,,,,,4570400.0,1.22,,,,,,,,,,,,,,,
1992-05-31,1234.71,,,,,,,,,,,5161500.0,74.54,,,,,,,,,,,,,,,
1992-06-30,1191.19,,,,,,,,,,,5897600.0,21.68,,,,,,,,,,,,,,,
1992-07-31,1052.07,,,,,,,,,,,8714900.0,-5.33,,,,,,,,,,,,,,,
1992-08-31,823.27,,,,,,,,,,,5429600.0,-24.93,,,,,,,,,,,,,,,
1992-09-30,702.32,,,,,,,,,,,8977800.0,-8.31,,,,,,,,,,,,,,,
1992-10-31,507.25,,,,,,,,,,,14651000.0,23.0,,,,,,,,,,,,,,,
1992-11-30,724.6,,,,,,,,,,,37065500.0,86.93,,,,,,,,,,,,,,,
1992-12-31,780.39,,,,,,,,,,,13551100.0,12.87,,,,,,,,,,,,,,,
1993-01-31,1198.48,,,9.2,,,,,,,,52009700.0,48.11,,,,,,,,,,,,,,,
1993-02-28,1339.88,,,,,,,,,,,65026200.0,-70.48,,,,,,,,,,,,,,,
1993-03-31,925.91,,352.0543971,,,,,,,,,23505600.0,-32.14,,,,,,,,,,,,,,,
1993-04-30,1358.78,,,,,,,,,,,39949000.0,9.1,,,,,,,,,,,,,,,
1993-05-31,935.48,,,,,,,,,,,34190800.0,-37.29,,,,,,,,,,,,,,,
1993-06-30,1007.05,,,,,,,,,,,58065100.0,-21.39,,,,,,,,,,,,,,,
1993-07-31,881.07,,,,,,,,,,,122213600.0,74.4,,,,,,,,,,,,,,,
1993-08-31,895.68,,,,,,,,,,,16909200.0,-3.59,,,,,,,,,,,,,,,
1993-09-30,890.27,,,,,,,,,,,52482900.0,4.15,,,,,,,,,,,,,,,
1993-10-31,814.82,,,,,,,,,,,99924000.0,-9.84,,,,,,,,,,,,,,,
1993-11-30,984.93,,,,,,,,,,,160317700.0,11.97,,,,,,,,,,,,,,,
