DATE,中债国债即期收益率:0年,中债国债即期收益率:1月,中债国债即期收益率:2月,中债国债即期收益率:即期:3月,中债国债即期收益率:即期:6月,中债国债即期收益率:即期:9月,中债国债即期收益率:1年,中债国债即期收益率:2年,中债国债即期收益率:3年,中债国债即期收益率:4年,中债国债即期收益率:5年,中债国债即期收益率:6年,中债国债即期收益率:7年,中债国债即期收益率:8年,中债国债即期收益率:9年,中债国债即期收益率:10年,中债国债即期收益率:15年,中债国债即期收益率:20年,中债国债即期收益率:30年,中债国债即期收益率:40年,中债国债即期收益率:50年,十年国债主连,五年国债主连,三十年国债主连,二年国债主连,制造业PMI,GDP:现价:当季值,GDP:现价:第一产业:当季值,GDP:现价:第二产业:当季值,GDP:现价:第三产业:当季值,GDP:现价:第二产业:建筑业:当季值,GDP:现价:第二产业:工业:当季值,GDP:现价:第二产业:制造业:当季值,GDP:现价:第三产业:批发和零售业:当季值,GDP:现价:第三产业:交通运输、仓储和邮政业:当季值,GDP:现价:第三产业:住宿和餐饮业:当季值,GDP:现价:第三产业:金融业:当季值,GDP:现价:第三产业:房地产业:当季值,GDP:现价:第三产业:其他行业:当季值,GDP:现价:第三产业:信息传输、软件和信息技术服务业:当季值,GDP:现价:第三产业:租赁和商务服务业:当季值,全国城镇调查失业率,31个大城市城镇调查失业率,规模以上工业增加值:当月同比,实际使用外资(人民币):当月值,社会消费品零售总额:当月值,在岗职工平均工资,城镇单位就业人员平均工资,CPI:当月同比,CPI:城市:当月同比,PPI:当月同比,美国:国债收益率:1个月,美国:国债收益率:3个月,美国:国债收益率:6个月,美国:国债收益率:1年,美国:国债收益率:2年,美国:国债收益率:3年,美国:国债收益率:5年,美国:国债收益率:7年,美国:国债收益率:10年,美国:国债收益率:20年,美国:国债收益率:30年,美国:联邦基金利率,SHIBORO/N,SHIBOR1W,SHIBOR2W,SHIBOR1M,SHIBOR3M,SHIBOR6M,SHIBOR9M,SHIBOR1Y,美元LIBORO/N,美元LIBOR1W,美元LIBOR2W,美元LIBOR1M,美元LIBOR2M,美元LIBOR3M,美元LIBOR4M,美元LIBOR5M,美元LIBOR6M,美元LIBOR7M,美元LIBOR8M,美元LIBOR9M,美元LIBOR10M,美元LIBOR11M,美元LIBOR12M,货币净投放量,正回购:7日:回购利率,正回购:14日:回购利率,正回购:27日:回购利率,正回购:28日:回购利率,正回购:31日:回购利率,正回购:84日:回购利率,正回购:91日:回购利率,正回购:182日:回购利率,正回购:364日:回购利率,逆回购:7日:回购利率,逆回购:14日:回购利率,逆回购:28日:回购利率,逆回购:91日:回购利率,逆回购:182日:回购利率,IBO001,IBO007,IBO014,IBO021,IBO2M,IBO3M,IBO4M,IBO6M,IBO9M,IBO1Y,贷款市场报价利率(LPR):1年,贷款市场报价利率(LPR):5年,存款利率:活期,存款利率:定期:3月,存款利率:定期:6月,存款利率:定期:1年,存款利率:定期:2年,存款利率:定期:3年,存款利率:定期:5年,中间价:美元兑人民币,M2(货币和准货币):期末值,中期借贷便利(MLF):操作金额:合计,中期借贷便利(MLF):操作金额:3个月,中期借贷便利(MLF):操作利率:3个月,中期借贷便利(MLF):操作金额:6个月,中期借贷便利(MLF):操作利率:6个月,中期借贷便利(MLF):操作金额:1年,中期借贷便利(MLF):操作利率:1年,000001.SH,000300.SH,000905.SH,GC00Y.CMX,AU9999.SGE,中债国债1-3年全价,中债国债5-7年全价,中债国债10年全价
2000-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,2962.9,,,-0.2,0.2,0.0,,5.76,5.97,6.3,6.61,6.65,6.71,6.75,6.68,6.72,6.49,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,2.58,2.62,2.75,,,,,,,,,,,,,,,,,,,,,8.2781,118907.8,,,,,,,,0.0,0.0,0.0,283.2,0.0,,,
2000-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,2804.9,,,0.7,1.1,1.0,,5.78,6.02,6.2,6.53,6.58,6.61,6.67,6.42,6.46,6.15,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,2.55,2.62,2.73,,,,,,,,,,,,,,,,,,,,,8.2786,119353.6,,,,,,,,1714.578,0.0,0.0,294.2,0.0,,,
2000-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,21329.9,1908.3,9547.8,9873.9,777.1,8798.5,,2101.2,1379.4,570.5,1237.7,931.4,3586.7,,,,,11.9,,2626.6,,,-0.2,0.1,1.9,,5.88,6.15,6.28,6.5,6.44,6.32,6.28,6.03,6.2,5.84,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,2.5,2.55,2.68,2.79,,,,,,,,,,,,,,,,,,,,8.2788,120399.58,,,,,,,,1800.225,0.0,0.0,278.4,0.0,,,
2000-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,2571.5,,,-0.3,0.1,2.6,,5.82,6.12,6.24,6.68,6.64,6.56,6.49,6.23,6.31,5.97,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,2.5,2.55,2.68,,,,,,,,,,,,,,,,,,,,,8.2795,121914.77,,,,,,,,1836.321,0.0,0.0,274.7,0.0,,,
2000-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,2636.9,,,0.1,0.5,2.5,,5.63,6.35,6.37,6.69,6.66,6.54,6.52,6.29,6.42,6.02,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,2.5,2.55,2.68,,,,,,,,,,,,,,,,,,,,,8.2772,121902.65,,,,,,,,1894.554,0.0,0.0,271.7,0.0,,,
2000-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,24043.4,3158.2,11127.2,9758.0,1359.0,9799.6,,2073.3,1571.7,536.5,1125.2,903.0,3465.5,,,,,12.2,,2645.2,,,0.5,0.9,2.9,,5.88,6.23,6.08,6.38,6.31,6.18,6.25,6.03,6.26,5.9,6.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,2.5,2.55,,,,,,,,,,,,,,,,,,,,,,8.278,124486.78,,,,,,,,1928.106,0.0,0.0,291.5,0.0,,,
2000-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,2596.9,,,0.5,1.0,4.5,,6.27,6.42,6.07,6.3,6.24,6.16,6.19,6.04,6.13,5.79,6.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,2.5,2.55,,,,,,,,,,,,,,,,,,,,,,8.2794,124192.78,,,,,,,,2023.539,0.0,0.0,276.8,0.0,,,
2000-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,2636.3,,,0.3,0.7,3.9,,6.31,6.38,6.22,6.18,6.09,5.98,5.98,5.73,5.96,5.67,6.65,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.38,2.4,,,,,2.4,2.5,,2.48,2.5,2.55,,,,,,,,,,,,,,,,,,,,,,8.2788,125673.26,,,,,,,,2021.199,0.0,0.0,279.6,0.0,,,
2000-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,25712.5,4140.6,11886.6,9685.3,1417.4,10502.8,,1943.5,1370.0,523.2,1171.8,1068.9,3518.7,,,,,12.0,,2854.3,,,0.0,0.4,3.7,,6.23,6.28,6.07,5.98,5.91,5.85,5.93,5.8,6.13,5.88,6.6,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.4,,,2.48,2.5,,,,,,,,,,,,,,,,,,,,,,,8.2798,128352.61,,,,,,,,1910.161,0.0,0.0,273.6,0.0,,,
2000-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,3029.3,,,0.0,0.4,3.6,,6.38,6.36,6.12,5.94,5.87,5.83,5.87,5.77,6.02,5.79,6.59,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.35,2.36,,,,,,2.46,,2.4,2.41,,,,,,,,,,,,,,,,,,,,,,,8.278,127432.53,,,,,,,,1961.287,0.0,0.0,266.4,0.0,,,
2000-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,3107.8,,,1.3,1.7,3.5,,6.21,6.18,5.92,5.61,5.52,5.42,5.5,5.48,5.78,5.6,6.62,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.35,2.39,,2.41,,,2.42,2.46,,2.4,2.41,,,,,,,,,,,,,,,,,,,,,,,8.2774,128887.4,,,,,,,,2070.613,0.0,0.0,270.1,0.0,,,
2000-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,29194.3,5510.2,13102.0,10582.0,1980.5,11157.7,,2041.8,1840.8,516.1,1307.6,1237.6,3522.1,,,,,10.4,,3680.0,9371.0,9333.0,1.5,1.9,2.8,,5.89,5.7,5.32,5.11,5.06,4.99,5.16,5.12,5.59,5.46,5.41,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.39,,2.41,,,,,,2.5,2.52,2.49,,,,,,,,,,,,,,,,,,,,,,8.2781,132487.52,,,,,,,,2073.477,0.0,0.0,273.6,0.0,,,
2001-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,3332.8,,,1.2,1.29,1.43,,4.99,4.83,4.6,4.62,4.67,4.85,5.08,5.19,5.65,5.54,5.74,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.52,2.56,,,,,,,,,,,,,,,,,,,,,,8.2786,135685.99,,,,,,,,0.0,0.0,0.0,265.6,0.0,,,
2001-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,3047.1,,,0.0,-0.2,0.86,,4.85,4.7,4.47,4.41,4.48,4.7,4.93,4.92,5.51,5.34,5.59,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,8.2781,134390.49,,,,,,,,1959.18,0.0,0.0,267.8,0.0,,,
2001-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,24086.4,2015.3,10641.4,11429.7,834.2,9838.0,,2351.9,1604.1,638.6,1343.4,1071.9,4342.6,,,,,12.1,,2876.1,,,0.8,0.7,0.2,,4.3,4.09,4.09,4.18,4.33,4.62,4.86,4.93,5.6,5.46,5.29,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2779,136915.12,,,,,,,,2112.775,0.0,0.0,257.9,0.0,,,
