DATE,preCloseIndex,openIndex,lowestIndex,highestIndex,product_closeIndex,turnoverVol,turnoverValue,CHG,CHGPct,GDP:环比:季调,GDP:不变价:同比,人均GDP:不变价:同比,GDP指数,人均GDP指数,杠杆率:居民部门,杠杆率:非金融企业部门,杠杆率:政府部门,杠杆率:实体经济部门,工业增加值:当月同比,工业增加值:季调:环比,工业增加值:制造业:累计同比,规模以上工业增加值:同比,工业企业应收账款:累计同比,工业企业:产成品存货:累计同比,工业企业资产总计:累计同比,工业企业负债合计:累计同比,工业产能利用率:当季值,固定资产投资完成额:累计同比,固定资产投资完成额:环比:季调,房地产开发投资完成额:累计同比,社会消费品零售总额:当月同比,社会消费品零售总额:环比:季调,31城市城镇调查失业率,31城市城镇调查失业率:同比增减,财新PMI:制造业,财新PMI:服务业经营活动指数,制造业PMI,美国:供应管理协会(ISM):制造业PMI,长江商学院BCI,货币供应量:M0,货币供应量:M0:同比,货币供应量:M1,货币供应量:M1:同比,货币供应量:M2,货币供应量:M2:同比,美国:CPI:同比,美国:核心CPI:同比,美国:CPI:环比,美国:核心CPI:环比,美国:PPI:季调:同比,美国:核心PPI:季调:同比,美国:PPI:季调:环比,美国:核心PPI:季调:环比,金融机构:人民币:各项贷款余额:同比,社会融资规模增量:人民币贷款:当月值,社会融资规模存量:人民币贷款,贷款市场报价利率(LPR):1年,贷款市场报价利率(LPR):5年,美元指数,中间价:美元兑人民币(USD/CNY)
2004-06-30,1012.37242,1008.21825,1001.25696,1012.99626,1007.1169,6948.86,,-5.25552,-0.005191,,,,,,,,,,17.5,,,,18.38,19.77,17.29,18.38,,34.8,,32.0,17.8,,,,,,,61.4,,19048.43,11.3,86780.37,18.6,234842.4,17.5,3.1,1.7,0.6,0.0,,,,,18.6,1132.0,,,,89.41,8.2766
2004-07-31,965.79279,966.10565,961.0184,973.38847,965.70556,8314.24,,-0.08723,-9e-05,,,,,,,,,,16.2,,,,18.72,19.86,17.53,18.89,,31.0,,28.7,13.9,,,,,,,60.5,,19017.58,12.2,88627.14,16.2,238427.49,16.2,3.3,1.9,0.3,0.1,,,,,16.3,2821.0,,,,89.96,8.2769
2004-08-31,970.73911,975.61303,973.42993,983.81959,979.09811,8252.7,,8.359,0.008611,,,,,,18.1,104.6,27.9,150.6,15.5,,,,18.76,19.78,17.44,18.45,,31.1,,28.6,13.2,,,,,,,59.9,,19409.1,11.8,87982.23,15.0,238126.97,15.3,3.0,1.8,-0.2,0.0,,,,,15.5,-19.0,,,,89.69,8.2767
2004-09-30,1001.72029,1006.7886,993.35561,1007.26722,996.99593,5772.84,,-4.72436,-0.004716,,,,,,,,,,15.9,,,,16.62,20.46,17.34,18.23,,30.3,,28.8,13.1,,,,,,,58.5,,19517.94,10.85,89125.33,15.14,239729.19,13.63,2.7,1.7,0.1,0.1,,,,,14.1,1157.0,,,,88.1,8.2766
2004-10-31,963.19629,955.47161,951.56562,961.99219,958.45656,6985.08,,-4.73973,-0.004921,,,,,,,,,,16.1,,,,16.69,21.53,16.8,17.89,,29.9,,28.3,14.0,,,,,,,57.4,,20524.17,12.11,90439.05,13.7,243756.88,13.94,2.5,2.0,0.2,0.3,,,,,13.6,2502.0,,,,84.91,8.2765
2004-11-30,978.85034,979.87059,975.61411,983.06913,979.03571,6602.52,,0.18537,0.000189,,,,,,17.8,105.0,28.3,151.1,15.7,,,,18.24,22.22,16.53,17.49,,29.5,,28.9,14.2,,,,,,,56.3,,20078.25,10.01,90782.48,12.57,243740.32,13.45,3.2,2.0,0.5,0.4,,,,,13.3,256.0,,,,81.93,8.2765
2004-12-31,968.89177,970.10941,967.28648,975.9718,974.0261,4729.04,,5.13433,0.005299,,,,,,,,,,14.8,,,,16.78,23.03,16.62,17.45,,28.9,,29.2,13.9,,,,,,,56.2,,20209.25,9.6,92387.13,13.8,247135.58,14.0,3.5,2.2,0.1,-0.1,,,,,13.5,1495.0,,,,80.53,8.2765
2005-01-31,973.60259,976.38169,962.71056,978.15491,969.31669,6067.62,,-4.2859,-0.004402,,10.1,,110.11362138,109.46155877,,,,,14.4,,,16.7,15.62,24.65,16.34,17.43,,27.6,,28.1,14.5,,,,,,,57.2,,21468.3,8.7,95970.82,13.6,253207.7,14.6,3.3,2.2,-0.4,-0.2,,,,,14.5,2983.0,,,,83.48,8.2765
2005-02-28,1011.55212,1026.28926,1025.21541,1040.27105,1036.34466,9142.52,,24.79254,0.024509,,,9.5,,,17.4,105.0,27.6,150.0,,,,,,,16.11,17.01,,,,,11.5,,,,,,54.7,56.8,,24015.41,7.75,97079.03,15.32,257708.47,14.13,3.0,2.3,0.2,0.3,,,,,14.2,2810.0,,,,82.66,8.2765
2005-03-31,1061.10126,1073.04973,1066.44533,1081.76284,1074.87041,13550.8,,13.76915,0.012976,,,,,,,,,,7.6,,,,17.39,22.22,,,,24.5,,27.0,15.8,,,,,,54.5,55.5,,22667.97,14.0,92814.95,10.6,259357.29,13.9,3.0,2.4,0.6,0.6,,,,,13.4,959.0,,,,84.29,8.2765
2005-04-30,1057.11414,1052.53748,1049.39299,1058.226,1055.43596,4459.2,,-1.67818,-0.001588,,,,,,,,,,15.1,,,,15.27,20.34,17.1,17.85,,25.3,,26.7,13.9,,,,,,57.9,55.2,,21238.95,10.1,94743.19,9.9,264588.94,14.0,3.1,2.3,0.8,0.6,,,,,13.0,3607.0,,,,84.43,8.2765
2005-05-31,1070.24283,1076.4025,1067.37255,1078.8766,1069.55748,11973.62,,-0.68535,-0.00064,,,,,,17.8,106.2,26.8,150.8,16.0,,,,15.44,19.5,16.09,17.32,,25.7,,25.9,12.2,,,,,,56.7,52.2,,21666.56,9.0,94593.72,10.0,266992.66,14.1,3.5,2.2,0.7,0.1,,,,,12.5,1420.0,,,,86.42,8.2765
2005-06-30,1091.27744,1097.63393,1085.36067,1099.77082,1087.64087,12011.64,,-3.63657,-0.003332,,,,,,,,,,16.6,,,,15.49,19.36,16.29,17.32,,26.4,,24.3,12.8,,,,,,52.9,50.8,,20811.59,9.3,95802.01,10.4,269240.49,14.6,2.8,2.2,-0.1,0.0,,,,,12.4,1089.0,,,,89.11,8.2765
