DATE,中国:GDP平减指数,GDP:现价:当季值,中国:最终消费支出:占GDP比重,实际使用外资(人民币):当月值,对外直接投资:非金融类:累计值,对外直接投资净额:总计,对外直接投资净额:亚洲:日本,对外直接投资净额:欧洲:英国,对外直接投资净额:欧洲:合计,对外直接投资净额:北美洲:美国,存款利率:活期,存款利率:定期:3月,存款利率:定期:6月,存款利率:定期:1年,存款利率:定期:2年,存款利率:定期:3年,存款利率:定期:5年,中国:经常账户:本国货币:季调:当季值,M1(货币):期末值,国家一般公共收入:合计:当月值,国家一般公共支出:合计:当月值,外债余额,国际投资头寸:净头寸:期末值,进口总值(人民币计价):当月值,出口总值(人民币计价):当月值,官方储备资产:外汇储备:期末值,CPI:当月同比,PPI:当月同比,即期汇率(16:30):美元兑人民币,即期汇率(16:30):欧元兑人民币,即期汇率(16:30):港元兑人民币,即期汇率(16:30):100日元兑人民币,即期汇率(16:30):英镑兑人民币,FU0.SHF,scm.INE,000001.SH,N225.GI,SPX.GI,IXIC.GI,DJIA.GI,FTSE.GI,AXX.GI,SX5E.GI,日本:GDP平减指数,日本:GDP:现价,日本:GDP:现价:私人消费,日本:GDP:现价:政府消费,日本:官方储备资产:外汇储备,日本:商品出口:季调,日本:商品进口:季调,日本:国际投资头寸:资产:直接投资,日本:经常账户:差额,日本:出口金额:当月值,日本:进口金额:当月值,日本:CPI,日本:PPI,日本:出口商品价格指数,日本:进口商品价格指数,日本:无担保隔夜拆款利率(TONA),日本:M1:实值,日本:外债:总计,日本:财政决算:一般会计:收入:财政年度,日本:财政决算:一般会计:支出:财政年度,日本:综合财政收支余额:当月值,日本:外商直接投资:中国,日本:对外直接投资:中国,欧元区:GDP:现价,欧元区:GDP:2005价:最终消费支出:当季值,欧元区:GDP:2005价:进口:商品和服务:当季值,欧元区:GDP:2005价:出口:商品和服务:当季值,欧元区:GDP:平减指数:2005价:当季值,欧元区20国:商品贸易:进口:季调,欧元区20国:商品贸易:出口:季调,商品贸易:进口金额:中国(不包括香港),商品贸易:出口金额:中国(不包括香港),欧元区:HICP,欧元区19国:PPI,欧元区20国:单位进口价格指数,欧元区20国:单位出口价格指数,欧元区:M1,欧元区:主导利率:再融资利率(MRO),欧元区:隔夜存款利率(DF),欧元区:隔夜贷款利率(MLF),一般政府债务总额:本币计价:欧盟27国,一般政府债务总额:欧元计价:欧盟27国,一般政府财政盈余:欧元区19国,欧元区:国际收支:经常账户:出口金额:商品,欧元区:国际收支:经常账户:进口金额:商品,欧元区:官方储备资产和其他外币资产,欧元区:外商直接投资净流入,美国:GDP:不变价:支出法:当季值,美国:出口金额:季调,美国:进口金额:季调,美国:CPI:当月同比,美国:PPI:最终需求:当月值,美国:进口价格指数:当月同比,美国:出口价格指数:当月同比,美国:M1,美国:M2,美国:联邦基金利率,美国:对外直接投资:美国跨国公司:所有行业:总计,美国:外商直接投资:外国跨国公司:所有行业:总计,美国:政府财政收入,美国:政府财政支出,美国:外债总额,美国:经常项目收入:季调:当季值,美国:经常项目支出:季调:当季值,美国:联邦政府债务:总额,美国:GDP:不变价:支出法:个人消费:折年数:季调:当季值,美国:外汇,英国:GDP:不变价:季调,英国:GDP:现价:季调,英国:GDP:现价:居民最终消费支出:季调,英国:GDP:现价:政府最终消费支出:季调,英国:经常项目差额:季调,英国:直接投资差额,英国:政府外币储备,英国:政府外汇储备总额,英国:贸易总额:出口:季调,英国:贸易总额:进口:季调,英国:CPI,英国:CPI:同比,英国:产出PPI:国内市场的工业品(不含税):当月值,英国:M1,英国:基准利率,英国:政府负债净值,英国:中央政府:总收入:当月值,英国:中央政府:总支出:当月值,英国:经常账户:本国货币:季调:当季值
2000-01-31,,,,,,,,,,,,,,,,,,,46570.1,1066.64,776.57,,,,,1561.0,-0.2,0.0,8.2777,8.0236,1.0639,,13.3751,0.0,0.0,0.0,19539.7,1394.46,3940.35,10940.53,6268.5,0.0,0.0,,,,,,,,,7115.02,3512721.0,2992192.0,97.4,97.2,105.1,69.0,0.02,,,,,,,,,,,,,80246.1,83158.5,,,75.25,76.1,,,1982585.0,,,,,,,,,,,,86001.0,113133.0,2.7,,7.1,0.7,1108.7,4634.7,5.87,,,189478.0,127326.0,,,,,,30941.0,,,,,,,24155.85,35796.29,22298.0,23267.0,71.9,0.8,,402359.0,5.75,,,,
2000-02-29,,,,,,,,,,,,,,,,,,,44679.2,737.04,718.16,,,,,1565.59,0.7,1.0,8.2786,7.9855,1.0637,,13.0703,0.0,0.0,1714.578,19959.52,1366.42,4696.69,10128.31,6232.6,0.0,0.0,,,,,,,,,15578.43,4136816.0,2957535.0,97.1,97.2,108.1,71.1,0.05,,,,,,,,,,,,,81220.8,85907.6,,,75.49,76.4,,,1973795.0,3.25,2.25,4.25,,,,,,,,,86540.0,116334.0,3.2,,9.3,1.3,1101.4,4666.4,5.85,,,108675.0,150409.0,,,,,,30406.0,,,,,,,23546.09,34858.86,22247.0,23037.0,72.2,0.9,,404313.0,6.0,,,,
2000-03-31,,21329.9,,,,,,,,,,,,,,,,,45158.45,1074.74,878.69,,,,,1568.2,-0.2,1.9,8.2787,7.9144,1.0632,,13.1806,0.0,0.0,1800.225,20337.32,1498.58,4572.83,10921.92,6540.2,0.0,0.0,,130540.7,71080.9,20663.5,,117635.0,83534.0,,13939.02,4700062.0,3594784.0,97.3,97.1,105.9,69.9,0.04,,,,,,,,1637115.3,1399486.9,557225.7,581172.1,88.82,83610.6,87620.0,,,75.72,76.7,,,1986051.0,3.5,2.5,4.5,5228893.3,5228893.3,,,,,,,88115.0,118672.0,3.8,,9.2,2.1,1111.2,4727.0,6.17,,,135582.0,170962.0,,356424.0,451196.0,,9039.74,31535.0,401242.0,272133.0,174675.0,43884.0,-4345.0,98541.0,24493.35,35193.63,22988.0,23367.0,72.3,0.6,,418147.0,,,,,-4345.0
2000-04-30,,,,,,,,,,,,,,,,,,,46319.03,1186.32,1087.35,,,,,1568.46,-0.3,2.6,8.2799,7.5513,1.063,,12.8504,0.0,0.0,1836.321,17973.7,1452.43,3860.66,10733.91,6327.4,0.0,0.0,,,,,324109.0,,,,13854.39,4377801.0,3236988.0,97.5,96.9,104.6,69.2,0.02,,,,,,,,,,,,,83618.5,88354.8,,,75.79,76.9,,,2027142.0,3.75,2.75,4.75,,,,,,,,,89359.0,117957.0,3.1,,6.6,1.9,1129.2,4800.6,6.06,,,295151.0,135653.0,,,,,,30014.0,,,,,,,26750.96,36789.34,22997.0,23962.0,72.6,0.6,,418631.0,,,,,
2000-05-31,,,,,,,,,,,,,,,,,,,46490.23,948.19,1022.15,,,,,1580.19,0.1,2.5,8.2773,7.7616,1.0623,,12.4275,0.0,0.0,1894.554,16332.45,1420.6,3400.91,10522.33,6359.3,0.0,0.0,,,,,326694.0,,,,10257.4,3851460.0,3276435.0,97.6,96.7,105.9,69.5,0.03,,,,,,,,,,,,,86993.7,90447.4,,,75.88,77.3,,,2009080.0,,,,,,,,,,,,88958.0,118123.0,3.2,,6.1,2.0,1104.1,4719.9,6.83,,,146002.0,149612.0,,,,,,30429.0,,,,,,,28378.87,38572.9,23175.0,23897.0,72.8,0.5,,430526.0,,,,,
2000-06-30,,24043.4,,,,,,,,,,,,,,,,,48024.4,1227.23,1352.41,1476.3,,,,1585.68,0.5,2.9,8.2782,7.8833,1.0619,,12.5597,0.0,0.0,1928.106,17411.05,1454.6,3966.11,10447.89,6312.7,0.0,0.0,,132188.1,70490.2,23719.8,329945.0,121679.0,87640.0,,14190.05,4487227.0,3294590.0,97.4,96.7,105.2,68.9,0.03,,,,,,,,1689962.8,1420220.5,580928.1,606419.5,89.42,84792.8,90285.2,,,76.16,77.6,,,2024238.0,4.25,3.25,5.25,5243178.7,5243178.7,,,,,,,91635.0,122040.0,3.7,,7.9,1.9,1098.7,4721.5,6.86,,,214875.0,158986.0,,371219.0,467611.0,,9124.15,31037.0,404196.0,273951.0,176189.0,45514.0,-4320.0,11570.0,29963.93,40727.38,24088.0,24737.0,72.9,0.8,,438814.0,,,,,-4320.0
2000-07-31,,,,,,,,,,,,,,,,,,,47803.09,1196.35,1048.45,,,,,1585.96,0.5,4.5,8.2792,7.6657,1.0616,,12.4146,0.0,0.0,2023.539,15727.49,1430.83,3766.99,10521.98,6365.3,0.0,0.0,,,,,330430.0,,,,12667.45,4313204.0,3312745.0,97.1,96.8,105.8,70.3,0.02,,,,,,,,,,,,,87174.5,91841.6,,,76.26,78.0,,,2022811.0,,,,,,,,,,,,91195.0,122447.0,3.7,,6.8,1.9,1105.1,4758.5,6.64,,,134074.0,129013.0,,,,,,30130.0,,,,,,,30530.55,41201.39,23344.0,25369.0,72.5,0.9,,437535.0,,,,,
2000-08-31,,,,,,,,,,,,,,,,,,,48885.38,1042.83,1287.72,,,,,1592.17,0.3,3.9,8.2786,7.3564,1.0615,,11.9857,0.0,0.0,2021.199,16861.26,1517.68,4206.35,11215.1,6672.7,0.0,0.0,,,,,330744.0,,,,11828.5,4204858.0,3598579.0,97.4,96.8,105.3,70.5,0.25,,,,,,,,,,,,,89146.2,91867.3,,,76.32,78.2,,,1989355.0,,,,,,,,,,,,93112.0,123043.0,3.4,,5.9,1.4,1103.3,4792.7,6.65,,,138128.0,148555.0,,,,,,30118.0,,,,,,,30777.92,41416.73,24143.0,25174.0,72.5,0.6,,435987.0,,,,,
2000-09-30,,25712.5,,,,,,,,,,,,,,,,,50616.89,1081.2,1278.31,,,,,1600.92,0.0,3.7,8.2798,7.3169,1.062,,12.2234,0.0,0.0,1910.161,15747.26,1436.51,3672.82,10650.92,6294.2,0.0,0.0,,131084.7,71922.9,19842.3,334971.0,123246.0,91818.0,,14280.49,4679180.0,3386040.0,97.3,96.6,103.7,69.6,0.28,,,,,,,,1681766.1,1417826.6,573833.6,599794.6,89.92,88692.9,92890.9,,,76.63,78.9,,,2002243.0,4.5,3.5,5.5,5275399.9,5275399.9,,,,,,,92896.0,126230.0,3.5,,6.1,1.9,1081.5,4802.4,6.6,,,219490.0,153743.0,,377245.0,481718.0,,9211.57,31209.0,406795.0,276266.0,178517.0,46726.0,-5540.0,-37488.0,31680.54,42601.03,23757.0,24989.0,73.1,1.0,,446786.0,,,,,-5540.0
2000-10-31,,,,,,,,,,,,,,,,,,,49952.84,1246.29,1080.86,,,,,1613.44,0.0,3.6,8.2775,7.0276,1.0615,,11.9883,0.0,0.0,1961.287,14539.6,1429.4,3369.63,10971.14,6438.4,0.0,0.0,,,,,335497.0,,,,8077.45,4476241.0,3787236.0,97.3,96.0,104.1,71.0,0.25,,,,,,,,,,,,,91977.0,96119.4,,,76.64,79.3,,,2002079.0,4.75,3.75,5.75,,,,,,,,,92177.0,125555.0,3.4,,5.4,1.5,1104.7,4828.9,6.59,,,135836.0,147156.0,,,,,,30514.0,,,,,,,32769.18,43219.78,23930.0,25272.0,73.1,1.0,,450245.0,,,,,
